cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
Use of chest CT in combination with negative RT-PCR assay for the 2019 novel Coronavirus but high clinical suspicion,2003,Radiology,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,2020,Int. J. Antimicrob. Agents,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia",2020,New England Journal of Medicine,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Presumed Asymptomatic Carrier Transmission of COVID-19,,JAMA,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
The structure and functions of coronavirus genomic 3 and 5 ends,2015,Virus Res,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
A decade after SARS: strategies for controlling emerging coronaviruses,2013,Nat. Rev. Microbiol,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"Middle East respiratory syndrome coronavirus: risk factors and determinants of primary, household, and nosocomial transmission",2018,Lancet Infect. Dis,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
COVID-Ready Communication Skills,,,"Physiotherapists during COVID-19: usual business, in unusual times",2020,Journal of Physiotherapy
MERS in South Korea and China: a potential outbreak threat?,2015,Lancet,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Middle East respiratory syndrome coronavirus neutralising serum antibodies in dromedary camels: a comparative serological study,2013,Lancet Infect. Dis,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"Bat-to-human: spike features determining 'host jump' of coronaviruses SARS-CoV, MERS-CoV, and beyond",2015,Trends Microbiol,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Evolution of the novel coronavirus from the ongoing Wuhan outbreak and modeling of its spike protein for risk of human transmission,2020,Science China. Life Sciences,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Insights into cross-species evolution of novel human coronavirus 2019-nCoV and defining immune determinants for vaccine development,2020,,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan,2020,Emerg. Microbes Infect,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Cryo-EM structures of MERS-CoV and SARS-CoV spike glycoproteins reveal the dynamic receptor binding domains,2017,Nat. Commun,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Unexpected receptor functional mimicry elucidates activation of coronavirus fusion,2019,Cell,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"Structure, function, and evolution of coronavirus spike proteins",2016,Annu. Rev. Virol,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Cryo-electron microscopy structures of the SARS-CoV spike glycoprotein reveal a prerequisite conformational state for receptor binding,2017,Cell Res,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Dipeptidyl peptidase 4 is a functional receptor for the emerging human coronavirus-EMC,2013,Nature,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"The continuing 2019-nCoV epidemic threat of novel coronaviruses to global healththe latest 2019 novel coronavirus outbreak in Wuhan, China",2020,Int. J. Infect. Dis,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,Nature,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Lung repair and regeneration in ARDS: role of PECAM1 and Wnt signaling,2019,Chest,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Pathogenic human coronavirus infections: causes and consequences of cytokine storm and immunopathology,2017,Semin. Immunopathol,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
The cytokine storm and factors determining the sequence and severity of organ dysfunction in multiple organ dysfunction syndrome,2008,Am J Emerg Med,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",2020,The Lancet,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Reduction and functional exhaustion of T cells in patients with coronavirus disease 2019 (COVID-19). medRxiv,2020,,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating personto-person transmission: a study of a family cluster,2020,The Lancet,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Return of the coronavirus: 2019-nCoV,2020,Viruses,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Identifying SARS-CoV-2 related coronaviruses in Malayan pangolins,2020,Nature,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
2019-nCoV transmission through the ocular surface must not be ignored,2020,Lancet,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Evaluation of coronavirus in tears and conjunctival secretions of patients with SARS-CoV-2 infection,2020,Journal of Medical Virology,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Cryo-EM Structure of the 2019-nCoV Spike in the Prefusion Conformation,2020,,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
SARS and MERS: Recent insights into emerging coronaviruses,2016,Nat. Rev. Microbiol,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Genome Composition and Divergence of the Novel Coronavirus (2019-nCoV) Originating in China,2020,Cell Host 302 Microbe,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
A Novel Coronavirus from Patients with Pneumonia in China,2019,The New England journal of medicine 2020,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Middle East Respiratory Syndrome,2017,N Engl J Med,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
A crucial role of angiotensin converting enzyme 2 (ACE2) in SARS coronavirus-induced lung injury,2005,Nat. Med,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Bats and Coronaviruses,2019,,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Genomic characterisation and epidemiology of 2019 novel coronavirus: Implications for virus origins and receptor binding,2020,Lancet,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
First Case of 2019 Novel Coronavirus in the United States,2020,New England Journal of Medicine,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"From SARS to MERS, Thrusting Coronaviruses into the Spotlight",2019,Viruses,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Novel Wuhan (2019-nCoV) Coronavirus,2020,Am. J. Respir. Crit. Care Med,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
Coronavirus Infections-More Than Just the Common Cold,,,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia",2020,New England Journal of Medicine,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
The digestive system is a potential route of 2019-nCov infection: a bioinformatics analysis based on single-cell transcriptomes,2020,,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,Coronavirus disease 2019 (COVID-19): current status and future perspectives,2020,International Journal of Antimicrobial Agents
